Session	 TrialNumber	 Onset	 Word	 Object	 Cond	 IntRat	 RT	 StimDuration	 CriterionTest
2	 36	 187.6349	 LOURD	 mushroom01	 2	 1	 0.6595	 2.9999	 1
2	 37	 193.6515	 ATTENTION	 bridge	 1	 1	 0.7629	 2.9999	 1
2	 38	 199.4644	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 39	 201.6772	 NEUTRE	 candelabra	 1	 1	 0.8816	 2.9999	 1
2	 40	 207.7120	 ÉCOLOGIE	 tent	 1	 1	 0.6323	 2.9999	 1
2	 41	 213.1444	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 42	 215.3600	 CONSEIL	 axe01	 2	 1	 1.2705	 2.9999	 1
2	 43	 221.5930	 MALICE	 doorhandle	 2	 2	 1.1415	 2.9999	 1
2	 44	 227.4261	 DISTINCTION	 qtip	 2	 1	 0.7640	 2.9999	 1
2	 45	 233.2452	 PAYS	 eraser	 2	 1	 0.7634	 2.9999	 1
2	 46	 238.6622	 TERRE	 tongs01b	 1	 1	 0.8269	 2.9999	 1
2	 47	 244.8819	 NEUTRE	 candelabra	 1	 0	   NaN	 2.9999	 1
2	 48	 250.7085	 SOUPLESSE	 bust	 1	 1	 1.1371	 2.9999	 1
2	 49	 256.9415	 IRONIE	 umbrella04	 2	 2	 0.6637	 2.9999	 1
2	 50	 262.3609	 VÉRITÉ	 couch02	 2	 2	 0.5994	 2.9999	 1
2	 51	 268.1916	 PUISSANCE	 castle	 2	 2	 0.7979	 2.9999	 1
2	 52	 274.0095	 AMOUR	 giraffe	 2	 1	 0.7173	 2.9999	 1
2	 53	 280.0399	 CALME	 bench01	 1	 2	 1.1320	 2.9999	 1
2	 54	 285.4736	 FACULTÉ	 chain01	 1	 1	 0.6588	 2.9999	 1
2	 55	 291.2979	 POSTE	 motorboat02	 1	 1	 0.9062	 2.9999	 1
2	 56	 297.1169	 ABSTRAIT	 jackrabbit	 2	 2	 0.6660	 2.9999	 1
2	 57	 303.3402	 TROU	 teapot	 2	 2	 0.8004	 2.9998	 1
2	 58	 309.9722	 UNI	 hammer01	 1	 1	 0.8071	 2.9999	 1
2	 59	 315.7985	 CHAUD	 satellitedish01	 1	 1	 0.8948	 2.9999	 1
2	 60	 321.8106	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 61	 324.4220	 MALICE	 doorhandle	 2	 2	 0.9093	 2.9999	 1
2	 62	 330.2457	 DISTINCTION	 qtip	 2	 1	 1.3010	 2.9998	 1
2	 63	 336.8714	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 64	 338.2880	 GLOIRE	 magnifyingglass01b	 1	 1	 1.2269	 2.9999	 1
2	 65	 343.7211	 ÉCOLOGIE	 tent	 1	 1	 1.2016	 2.9999	 1
2	 66	 349.5541	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 67	 351.5708	 LOURD	 mushroom01	 2	 2	 0.7677	 2.9999	 1
2	 68	 357.8028	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 69	 360.0204	 DÉVOTION	 skunk	 1	 1	 0.8622	 2.9999	 1
2	 70	 366.6413	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 71	 368.0533	 ESPRIT	 balloon01b	 2	 2	 0.7408	 2.9999	 1
2	 72	 374.0791	 AMITIÉ	 lip	 2	 2	 0.7160	 2.9999	 1
2	 73	 380.1035	 LISSE	 hand01b	 1	 1	 0.5548	 2.9998	 1
2	 74	 386.3312	 ATTENTION	 bridge	 1	 1	 0.9225	 2.9998	 1
2	 75	 392.3465	 ATTITUDE	 lipstick02a	 1	 1	 1.2096	 2.9999	 1
2	 76	 398.1687	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 77	 399.9853	 EFFORT	 locomotive	 2	 2	 0.8637	 2.9999	 1
2	 78	 406.0048	 CARRÉ	 carbattery	 2	 2	 0.7191	 2.9999	 1
2	 79	 412.2323	 NOTE	 doormat	 1	 1	 0.3739	 2.9999	 1
2	 80	 417.6606	 FAVEUR	 africanelephant	 1	 1	 0.7813	 2.9999	 1
2	 81	 423.0697	 VERTU	 shipinabottle	 2	 1	 0.5487	 2.9999	 1
2	 82	 429.7021	 SENTEUR	 accordion01	 2	 1	 1.0755	 2.9999	 1
2	 83	 435.9338	 FORTUNE	 acousticguitar02	 1	 1	 0.7382	 2.9999	 1
2	 84	 441.7620	 VALEUR	 banana01	 1	 2	 0.9856	 2.9999	 1
2	 85	 447.1810	 ESTIMATION	 wallclock	 2	 2	 0.9123	 2.9999	 1
2	 86	 453.4041	 CONSEIL	 axe01	 2	 1	 0.6478	 2.9999	 1
2	 87	 460.0184	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 88	 462.6326	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 89	 465.2492	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 90	 467.8657	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 1	 0.0009	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 2	 1.8148	 ATTITUDE	 lipstick02a	 1	 1	 0.5913	 2.9999	 1
3	 3	 7.8395	 DISTINCTION	 qtip	 2	 1	 0.8385	 2.9999	 1
3	 4	 14.4587	 VÉRITÉ	 couch02	 2	 2	 1.2378	 2.9999	 1
3	 5	 21.0802	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 6	 22.8968	 CALME	 bench01	 1	 1	 0.7879	 2.9999	 1
3	 7	 28.7252	 FORTUNE	 acousticguitar02	 1	 1	 0.6194	 2.9999	 1
3	 8	 35.3435	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 9	 37.5461	 AMITIÉ	 lip	 2	 1	 0.8582	 2.9999	 1
3	 10	 43.5710	 IRONIE	 umbrella04	 2	 2	 0.6896	 2.9999	 1
3	 11	 49.5894	 TROU	 teapot	 2	 2	 0.6334	 2.9999	 1
3	 12	 56.2119	 SOUPLESSE	 bust	 1	 1	 0.7517	 2.9999	 1
3	 13	 62.8433	 VALEUR	 banana01	 1	 1	 0.8145	 2.9999	 1
3	 14	 68.6635	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 15	 70.8780	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 16	 73.0946	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 17	 75.3111	 ESPRIT	 balloon01b	 2	 2	 0.6843	 2.9999	 1
3	 18	 81.9433	 LISSE	 hand01b	 1	 2	 0.7632	 2.9999	 1
3	 19	 88.1641	 FAVEUR	 africanelephant	 1	 1	 1.0342	 2.9999	 1
3	 20	 94.7937	 LOURD	 mushroom01	 2	 1	 0.8970	 2.9999	 1
3	 21	 100.2130	 AMOUR	 giraffe	 2	 2	 0.6324	 2.9999	 1
3	 22	 106.8441	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 23	 109.0597	 FACULTÉ	 chain01	 1	 1	 0.9345	 2.9999	 1
3	 24	 115.2916	 NOTE	 doormat	 1	 1	 0.7333	 2.9999	 1
3	 25	 121.1259	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
3	 26	 122.5424	 CARRÉ	 carbattery	 2	 2	 0.7634	 2.9999	 1
